Date;Time;Temp;Moisture;Baro;Current;X;Y;Z;Mircophone
06/04/2023;12:34:56; 22.70; 42.22;1016.13;740;1.00;2.00;-11.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;723;0.00;12.00;-11.00;854
06/04/2023;12:34:56; 22.70; 42.22;1016.13;724;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;747;0.00;3.00;-13.00;947
06/04/2023;12:34:56; 22.70; 42.22;1016.13;727;1.00;-2.00;-10.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;720;1.00;7.00;-9.00;628
06/04/2023;12:34:56; 22.70; 42.22;1016.13;727;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;718;1.00;4.00;-12.00;786
06/04/2023;12:34:56; 22.70; 42.22;1016.13;748;1.00;-2.00;-10.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;728;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;722;-1.00;4.00;-7.00;656
06/04/2023;12:34:56; 22.70; 42.22;1016.13;754;-1.00;4.00;-12.00;818
06/04/2023;12:34:56; 22.70; 42.22;1016.13;732;1.00;1.00;-13.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;713;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;750;0.00;0.00;0.00;845
06/04/2023;12:34:56; 22.70; 42.22;1016.13;741;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;732;-1.00;6.00;-11.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;713;0.00;-5.00;-12.00;860
06/04/2023;12:34:56; 22.70; 42.22;1016.13;728;1.00;2.00;-9.00;796
06/04/2023;12:34:56; 22.70; 42.22;1016.13;710;0.00;0.00;0.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;740;0.00;10.00;-11.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;744;-1.00;1.00;-14.00;1082
06/04/2023;12:34:56; 22.70; 42.22;1016.13;720;0.00;0.00;-11.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;736;0.00;0.00;0.00;601
06/04/2023;12:34:56; 22.70; 42.22;1016.13;726;-1.00;8.00;-11.00;
06/04/2023;12:34:56; 22.70; 42.22;1016.13;709;0.00;3.00;-13.00;828
06/04/2023;12:34:57; 22.70; 42.22;1016.13;741;1.00;-2.00;-10.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;720;0.00;5.00;-8.00;765
06/04/2023;12:34:57; 22.70; 42.22;1016.13;741;0.00;0.00;0.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;732;0.00;3.00;-12.00;823
06/04/2023;12:34:57; 22.70; 42.22;1016.13;714;1.00;0.00;-12.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;732;0.00;9.00;-9.00;741
06/04/2023;12:34:57; 22.70; 42.22;1016.13;713;-2.00;6.00;-12.00;801
06/04/2023;12:34:57; 22.70; 42.22;1016.13;746;0.00;-5.00;-14.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;727;0.00;0.00;0.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;715;1.00;3.00;-10.00;703
06/04/2023;12:34:57; 22.70; 42.22;1016.13;745;-1.00;11.00;-13.00;990
06/04/2023;12:34:57; 22.70; 42.22;1016.13;725;-1.00;2.00;-15.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;740;1.00;2.00;-11.00;892
06/04/2023;12:34:57; 22.70; 42.22;1016.13;721;2.00;10.00;-10.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;739;0.00;0.00;0.00;973
06/04/2023;12:34:57; 22.70; 42.22;1016.13;742;1.00;3.00;-13.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;720;1.00;-1.00;-10.00;817
06/04/2023;12:34:57; 22.70; 42.22;1016.13;744;0.00;6.00;-9.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;726;-1.00;4.00;-13.00;1099
06/04/2023;12:34:57; 22.70; 42.22;1016.13;748;0.00;2.00;-12.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;732;0.00;0.00;0.00;539
06/04/2023;12:34:57; 22.70; 42.22;1016.13;720;0.00;8.00;-9.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;741;0.00;5.00;-12.00;783
06/04/2023;12:34:57; 22.70; 42.22;1016.13;721;1.00;-2.00;-13.00;596
06/04/2023;12:34:57; 22.70; 42.22;1016.13;748;1.00;7.00;-10.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;726;-1.00;9.00;-12.00;797
06/04/2023;12:34:57; 22.70; 42.22;1016.13;708;1.00;-2.00;-13.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;732;1.00;2.00;-9.00;613
06/04/2023;12:34:57; 22.70; 42.22;1016.13;713;-1.00;12.00;-10.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;744;0.00;0.00;0.00;1107
06/04/2023;12:34:57; 22.70; 42.22;1016.13;729;-1.00;4.00;-13.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;741;0.00;0.00;-10.00;1000
06/04/2023;12:34:57; 22.70; 42.22;1016.13;716;0.00;6.00;-10.00;992
06/04/2023;12:34:57; 22.70; 42.22;1016.13;736;1.00;1.00;-14.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;733;2.00;-1.00;-11.00;531
06/04/2023;12:34:57; 22.70; 42.22;1016.13;715;1.00;6.00;-8.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;738;1.00;4.00;-11.00;799
06/04/2023;12:34:57; 22.70; 42.22;1016.13;715;4.00;0.00;-11.00;547
06/04/2023;12:34:57; 22.70; 42.22;1016.13;736;3.00;8.00;-9.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;715;0.00;5.00;-11.00;921
06/04/2023;12:34:57; 22.70; 42.22;1016.13;746;0.00;-6.00;-12.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;725;0.00;0.00;0.00;770
06/04/2023;12:34:57; 22.70; 42.22;1016.13;713;1.00;2.00;-10.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;735;0.00;11.00;-11.00;995
06/04/2023;12:34:57; 22.70; 42.22;1016.13;712;0.00;1.00;-13.00;599
06/04/2023;12:34:57; 22.70; 42.22;1016.13;732;1.00;-1.00;-9.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;709;1.00;7.00;-9.00;826
06/04/2023;12:34:57; 22.70; 42.22;1016.13;740;1.00;3.00;-13.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;721;0.00;0.00;-10.00;900
06/04/2023;12:34:57; 22.70; 42.22;1016.13;731;-2.00;7.00;-8.00;823
06/04/2023;12:34:57; 22.70; 42.22;1016.13;711;-1.00;3.00;-12.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;742;1.00;1.00;-11.00;716
06/04/2023;12:34:57; 22.70; 42.22;1016.13;723;1.00;9.00;-9.00;908
06/04/2023;12:34:57; 22.70; 42.22;1016.13;746;0.00;6.00;-12.00;
06/04/2023;12:34:57; 22.70; 42.22;1016.13;723;2.00;-4.00;-12.00;894
